,,,,,,,,,,,,,十かへりの花,ちとりつか,松のしるし,牛窪連春興,冬のひかり,笠塚百回忌,鷹の石ふみ,旅の日数,麻刈集,落梅花,みちのかけ,花つか集,この供養,松葉塚,五東斎木朶,たまかつら,昔合集,勧進帖,月次撰句集,橋日記,志ら梅,寛政守武祠句集,東境連句会,花鳥楽事,あがたの三月よつき,萩の露,歳旦,春興,寉芝集,馬江連春興,元除春遊,時雨会,青むしろ,秋風紀行,雪月文事　,東境連句会,東境連句会,雛さうし,此君集,無量佛,東境連句会,はつそら,梅花帖,霜のかね,蘿蔓集,蓑虫集,きさらき集,楫枕,あさひらき,趙鳧龍城下歳旦,白蓮華,蓼廻穂,小菊原,藁つと,歳晩集,きねうた,侘草紙,としのやと,煎豆集,ひしのはな,力草,鶯囀梅　,桃桜,しまめぐり,花おし,酔月集,文章観友録,文音録,秋の調,すしかひ,いたびさし,心のたま,銀河,むしの声,川音に,正月は,あはれさは,むつかしき,花御師,万歳や,発句点合巻,つくろはぬ,竜の登　,俳諧西歌仙,はいかい壱軸,奉納八橋山俳諧一軸,四海句双紙,無量品,竹うゑて,月南美,木朶交友録,諸国人名録(B),空は,すかのおかさ,たかむしろ,あとのともし,雁の空,夏古毛利,むかしいま,はつね集,酔月亭夜話,月次五題,伊農太傳,見なれし,月次集,花のこだま,草の名集,種くり,悉金声,牛地紀行,弥生日記,水底の,さみたれ,枇杷の実,安居鐘,五百機集,つきなみ集,あさぢ酒,蘆陰集,飛濃紀佳散,蘆の一もと,十かへり,その葉さへ,花済集,燕岡集,うまのはなむけ,楽しみ草,蝉茸集,狂俳冠句壱編,藪にはとり集,湯のかたみ,和漢俳諧集,ことはくつ,はつ夢,鶴のかしら,諸国人名録(A),はるの霜,むくけかき,こひし笛,苔しみづ,すきそめ集,豆の葉集,鏡魚集,みづおと,保具留万集,はつ雁集,くにまたぎ,秋草集,桐生記行,かりざしき,ちまちだ集,もち花集,竹春集,ほそぬの集,ひとつ鷺 ,俳諧まくら紙集,牛窪集,蓬宇人名録,なゝころび,酒餅集,口綱集,俳諧金色集,まつかさ集,円満集,はなぬす人,俳諧こぼれ炭集,卜晴集,一往集,嘉永人名録,大小発句合,朝かほ,大鶴庵卯選集　,唯うつむいて,椎芝集
俳名,出身地,現住所,本名/別名,職業,職業_詳細,門下/派閥,初登場/活動開始年,没年,享年(歳),備考,URL,句集登場回数,"寛政元年
(1789)","寛政2年
(1790)","寛政4年
(1792)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政5年
(1793)","寛政6年
(1794)","寛政7年
(1795)","寛政8年
(1796)","寛政8年
(1796)","寛政10年
(1798)","寛政10年
(1798)","寛政10年
(1798)","寛政11年
(1799)","寛政11年
(1799)","寛政11年
(1799)","寛政12年
(1800)","寛政12年
(1800)","寛政12年
(1800)？","寛政12年
(1800)","享和元年
(1801)","享和2年
(1802)","享和2年
(1802)","享和3年
(1803)","文化元年
(1804)","文化元年
(1804)","文化元年
(1804)","文化元年
(1804)","文化2年
(1805)","文化3年
(1806)","文化4年
(1807)","文化4年
(1807)","文化4年
(1807)","文化4年
(1807)","文化5年
(1808)","文化5年
(1808)","文化5年
(1808)","文化5年
(1808)","文化5年
(1808)","文化6年
(1809)","文化6年
(1809)","文化7年
(1810)","文化7年
(1810)","文化7年
(1810)","文化7年
(1810)","文化7年
(1810)","文化8年
(1811)","文化8年
(1811)","文化9年
(1812)","文化9年
(1812)","文化9年
(1812)","文化9年
(1812)","文化10年
(1813)","文化10年
(1813)","文化10年
(1813)","文化10年
(1813)","文化10年
(1813)","文化10年
(1813)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化11年
(1814)","文化12年
(1815)","文化12年
(1815)","文化12年
(1815)","文化13年
(1816)","文化13年
(1816)","文化13年
(1816)","文化13年
(1816)","文化13年
(1816)","文化14年
(1817)","文化14年
(1817)","文化14年
(1817)","文化14年
(1817)",文化年間,文政初期,"文政元年
(1818)","文政元年
(1818)","文政元年
(1818)","文政元年
(1818)","文政元年
(1818)","文政2年
(1819)","文政2年
(1819)","文政2年
(1819)","文政3年
(1820)","文政4年
(1821)","文政4年
(1821)","文政4年
(1821)","文政4年
(1821)","文政5年
(1822)","文政5年
(1822)","文政5年
(1822)","文政5年
(1822)","文政5年
(1822)","文政7年
(1824)","文政7年
(1824)","文政7年
(1824)","文政7年
(1824)","文政7年
(1824)","文政8年
(1825)","文政8年
(1825)","文政8年
(1825)","文政9年
(1826)","文政9年
(1826)","文政10年
(1827)","文政10年
(1827)","文政10年
(1827)","文政10年
(1827)","文政10年
(1827)","文政11年
(1828)","文政12年
(1829)","文政12年
(1829)","文政12年
(1829)","文政12年
(1829)","文政13年
(1830)","文政13年
(1830)","文化文政
年間","文化文政
年間",文政年間,天保年間,"天保3年
(1832)","天保3年
(1832)","天保3年
(1832)","天保3年
(1832)","天保5年
(1834)","天保5年
(1834)","天保5年
(1834)","天保6年
(1835)","天保6年
(1835)","天保6年
(1835)","天保6年
(1835)","天保6年
(1835)","天保7年
(1836)","天保7年
(1836)","天保8年
(1837)","天保8年
(1837)","天保8年
(1837)","天保9年
(1838)","天保9年
(1838)","天保9年
(1838)","天保9年
(1838)","天保10年
(1839)","天保10年
(1839)","天保11年
(1840)","天保11年
(1840)","天保12年
(1841)","天保12年
(1841)","天保12年
(1841)","天保13年
(1842)","天保14年
(1843)","天保14年
(1843)","天保15年
(1844)",嘉永年間(塞馬),"安政4年
(1857)",年代不明,年代不明,年代不明,年代不明
卓池,,岡崎市菅生町,"鶴田氏,青々処",商人,俳人,卓池,"寛政5年,1793","弘化3年,1846",76,暁台、士郎に師事、三河俳諧の中心人物、満性寺(岡崎市)や無量壽寺(知立市)に句碑あり,https:/omo-shiroki.jp/azumagarasu/images/shonin.jpg,103,,,,,〇,,,〇,〇,〇,,,,,,〇,,〇,,〇,,,,,〇,,,,〇,,,,〇,〇,〇,,,,〇,,,〇,〇,,,〇,〇,,〇,,,,〇,,〇,〇,〇,〇,,〇,〇,〇,〇,〇,〇,,,,〇,〇,〇,〇,,〇,,,,,,,,〇,,〇,〇,,,〇,〇,,,,〇,〇,〇,,〇,〇,,〇,〇,,〇,〇,,,,,〇,〇,〇,〇,〇,〇,〇,〇,,〇,〇,〇,,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,〇,〇
秋挙,,刈谷市小垣江町,"中島惟一,曙庵",藩士,俳人,秋挙,"寛政11年,1799","文政9年,1826",54,30歳で隠居、士郎に師事、墓所は十念寺(刈谷市),https:/omo-shiroki.jp/azumagarasu/images/hanshi.jpg,52,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,〇,,,〇,〇,,,〇,,,,〇,,,〇,,,,〇,〇,,,〇,,,,,〇,〇,〇,,,,,,〇,,,,〇,〇,〇,,,,〇,〇,〇,〇,〇,〇,,〇,〇,〇,,,,〇,〇,〇,,,〇,,〇,〇,,〇,〇,,〇,〇,,〇,〇,〇,〇,〇,〇,〇,〇,,〇,〇,,,〇,〇,〇,,,,,,,,,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃生,岡崎,岡崎市康生町,鶴田氏,,,暁台,"寛政5年,1793","寛政8年,1796",,一族の卓池を暁台に紹介(日本古典作者辞典),https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,7,,,,,,,,〇,〇,〇,,,,,,〇,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圃来,岡崎,岡崎市康生町,,,,暁台,"寛政5年,1793",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,6,,,,,,,,〇,〇,〇,,,,,,〇,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入素,岡崎,岡崎市康生町,桑谷山人,,,暁台,"寛政5年,1793","享和元年,1801",,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,10,,,,,,,,〇,〇,〇,,,,,,〇,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚日,岡崎,岡崎市康生町,,,,暁台,"寛政5年,1793",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,4,,,,,,,,〇,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几鴎,岡崎,岡崎市康生町,,,,暁台,"寛政5年,1793",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,〇,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翅白(女),岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弁古,岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
