武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
九戸,実親,72,68,41,41,38,140,79,260,九戸信仲,くのへ,さねちか,1542年,1557年,1591年,50,-,領地保全,用心,斥候,神出鬼没,勲功,12,-,九戸実親,南部家臣。信仲の子。南部晴政の次女と結婚し、後継者候補となる。主家に叛旗を翻した兄・政実とともに九戸城に籠城し、豊臣軍と戦うが敗れ、斬首された。,1,0,0
森岡,信元,61,64,36,32,29,125,61,222,-,もりおか,のぶもと,1556年,1571年,1606年,51,-,領地保全,用心,斥候,神出鬼没,勲功,9,-,森岡信元,津軽家臣。主君・為信の創業期を支えた大浦三老の１人。石川高信との戦いに参加して和徳城を攻略、城主となる。のちに為信から叛意を疑われ謀殺された。,0,0,0
葛西,俊信,49,66,29,29,24,115,53,197,-,かさい,としのぶ,1579年,1594年,1635年,57,-,領地保全,早駆け,猛攻,本陣斬込,家名,3,-,葛西俊信,伊達家臣。父・重俊は胤重（晴信の弟）の子。兄・重信は宇和島伊達家に仕えて宇和島に赴いた。馬術の名手として知られ、京都で数回、妙技を披露している。,0,0,0
柏山,明久,57,68,41,26,27,125,53,219,柏山明吉,かしやま,あきひさ,1561年,1576年,1595年,35,-,領地保全,突撃,速攻,全軍突撃,勲功,12,-,柏山明久,葛西家臣。柏山明吉の四男。折居館主。領内屈指の荒武者といわれ、柏山家内乱の際には家老・三田将監を殺害。葛西・大崎一揆では叛乱軍の総帥となった。,1,0,0
佐藤,好信,43,60,46,56,49,103,105,254,-,さとう,よしのぶ,1514年,1529年,1563年,50,-,領地保全,用心,斥候,神出鬼没,才覚,5,-,佐藤好信,相馬家臣。佐藤家はもと岩城家臣であったが、好信の代に相馬家に属す。軍奉行を務めたが、郡左馬助の讒言により領地を没収され、失意のうちに病死した。,0,0,0
猪苗代,盛胤,57,67,46,40,39,124,79,249,猪苗代盛国,いなわしろ,もりたね,1565年,1580年,1641年,77,-,領地保全,突撃,速攻,全軍突撃,勲功,2,-,猪苗代盛胤,蘆名家臣。盛国の子。摺上原合戦で主家が敗れたあと、主君・盛重に従い常陸に逃れる。のちに盛重のもとを去って故郷の猪苗代に戻り、同地で余生を送った。,1,0,0
富田,隆実,60,74,37,30,28,134,58,229,富田氏実,とみた,たかざね,1569年,1584年,1594年,26,-,領地保全,突撃,速攻,全軍突撃,実利,5,-,富田隆実,蘆名家臣。氏実の子。摺上原合戦では先鋒を務め、伊達軍の本陣に迫るなど奮戦した。敗北後は主君・盛重に従い常陸に逃れるが、間もなく盛重の元を去った。,1,0,0
平田,範重,62,66,43,33,33,128,66,237,平田舜範,ひらた,のりしげ,1555年,1570年,1594年,40,-,領地保全,突撃,速攻,全軍突撃,才覚,5,-,平田範重,蘆名家臣。平田舜範の子。松本行輔（氏輔の子）の謀叛鎮定などに活躍した。伊達軍が蘆名領に侵攻した際は、中目盛光とともに奮戦し、これを破った。,1,0,0
大宝寺,義氏,62,65,30,25,24,127,49,206,大宝寺義増,だいほうじ,よしうじ,1551年,1566年,1583年,33,-,所領拡大,突撃,速攻,全軍突撃,実利,12,-,大宝寺義氏,出羽の豪族。義増の子。合戦に明け暮れて領政を軽んじたため、領民から「悪屋形」と憎悪された。最上義光に通じた家臣・前森蔵人に謀叛され、自害した。,1,0,0
最上,家親,42,56,37,48,39,98,87,222,最上義光,もがみ,いえちか,1582年,1597年,1617年,36,-,家名存続,突撃,速攻,全軍突撃,家名,10,-,最上家親,最上家１２代当主。義光の次男。父の死後、家督を継ぐ。対立していた弟・義親を討ち領内統一を進めるが、間もなく死去。叔父・楯岡光直が毒殺したという。,1,0,0
松平,秀康,75,82,41,53,44,157,97,295,松平元康,まつだいら,ひでやす,1574年,1589年,1607年,34,-,家名存続,急襲,猛攻,全軍突撃,勲功,7,-,松平秀康,徳川家康の次男。結城家の家督を継ぐ。関ヶ原合戦の際は関東に残って上杉景勝に備え、戦後、越前福井７５万石を領した。激しい気性の持ち主だったという。,1,0,0
松平,忠直,71,72,36,36,31,143,67,246,松平秀康,まつだいら,ただなお,1595年,1610年,1650年,56,-,家督継承,突撃,速攻,全軍突撃,勲功,9,-,松平忠直,結城秀康の嫡男。父の死後家督を継ぐ。大坂の陣では真田幸村軍の突撃を阻止するなど活躍。のちに幾多の不行跡を起こしたため、改易され配流処分となった。,1,0,0
小山,高朝,49,57,45,49,44,106,93,244,結城政朝,おやま,たかとも,1508年,1523年,1574年,67,-,領地保全,突撃,速攻,全軍突撃,勲功,8,-,小山高朝,下野の豪族。結城政朝の次男。小山政長の養子となった。兄・結城政勝の後援を得て小山家の威勢を回復する。北条家とも結び、安定した領国経営を行った。,1,0,0
正木,憲時,65,68,47,33,35,133,68,248,-,まさき,のりとき,1555年,1570年,1581年,27,正木時茂,領地保全,突撃,速攻,全軍突撃,勲功,3,-,正木憲時,里見家臣。時忠または弘季の子という。伯父・時茂の養子となって家督を継ぐ。主君・義頼の強引な家督相続に憤激して謀叛を起こすが敗れ、家臣に殺された。,0,0,0
御子神,典膳,33,72,28,24,22,105,46,179,-,みこがみ,てんぜん,1565年,1580年,1628年,64,-,天下統一,奥義一閃,野襲,全軍突撃,芸道,11,-,御子神典膳,剣術家。はじめ里見家に仕えたが、剣術修業のため諸国を遍歴する。のちに一刀流の開祖・伊藤一刀斎に師事し、名を小野忠明と改め、小野一刀流を創始した。,0,0,0
那須,資晴,64,67,41,41,38,131,79,251,那須資胤,なす,すけはる,1557年,1572年,1610年,54,-,領地保全,突撃,速攻,全軍突撃,勲功,9,-,那須資晴,下野の戦国大名。資胤の嫡男。薄葉ヶ原合戦で宇都宮軍に大勝し、近隣に武名を轟かせた。豊臣秀吉の小田原征伐の際に遅参したため、所領を没収された。,1,0,0
佐野,宗綱,57,68,40,56,45,125,101,266,佐野昌綱,さの,むねつな,1556年,1574年,1586年,31,-,領地保全,急襲,猛攻,全軍突撃,才覚,8,-,佐野宗綱,佐野家１６代当主。昌綱の嫡男。佐竹家と結んで北条家に対抗。また軍事・経済両面の改革を進めるが、家臣の反発を招いた。のちに須花坂の戦いで戦死した。,1,0,0
