,武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
0,蠣崎,季広,65,54,73,84,76,119,160,352,蠣崎義広,かきざき,すえひろ,1507年,1522年,1595年,89,-,領地保全,激励,堅固,囮挑発,実利,8,-,蠣崎季広,蠣崎家４代当主。義広の子。先祖より対立の続いていたアイヌと和睦し、蝦夷商船往来の制を定める。この政策により、蝦夷地の領主としての地位を確立した。,1,0,0
1,蠣崎,慶広,67,54,71,84,83,121,167,359,-,かきざき,よしひろ,1548年,1564年,1616年,69,-,領地保全,逆撫で,奪力,囮挑発,家名,11,-,蠣崎慶広,蠣崎家５代当主。季広の子。豊臣秀吉に接近して蝦夷地における交易権を獲得、独立領主となった。１５９９年に徳川家康に家系図を献上し、松前姓に改めた。,0,0,0
2,蠣崎,盛広,49,46,40,67,52,95,119,254,蠣崎慶広,かきざき,もりひろ,1571年,1586年,1608年,38,-,家名存続,足止め,回避,神出鬼没,家名,3,-,蠣崎盛広,蠣崎松前家６代当主。慶広の子。徳川家康が内大臣となった際、父とともに家康に拝謁した。１６００年に松前藩２代藩主となるが、父に先立ち病死した。,1,0,0
3,蠣崎,守広,42,46,53,61,57,88,118,259,-,かきざき,もりひろ,1564年,1579年,1635年,72,-,家名存続,臨戦,万全梟雄,囮挑発,実利,5,-,蠣崎守広,松前藩家老。季広の十一男。一家を興して家臣となる。４代藩主・氏広を自宅で饗応した際、偶然火災が起こったため、その罪を負って火中に入り死去した。,0,0,0
4,近藤,義武,55,69,63,59,62,124,121,308,-,こんどう,よしたけ,1569年,1584年,1638年,70,-,領地保全,突撃,速攻謀神奇略,全軍突撃,勲功,5,-,近藤義武,松前藩士。袮保田館主・近藤季常の末裔という。公卿・花山院忠長が蝦夷に配流された際は、接待役を務めた。大坂夏の陣では主君・慶広に従って出陣した。,0,0,0
5,南条,広継,54,55,66,44,53,109,97,272,-,なんじょう,ひろつぐ,1528年,1543年,1562年,35,-,家名存続,足止め,回避舞姫,神出鬼没,家名,11,-,南条広継,蠣崎家臣。勝山館主。蠣崎季広の長女を娶った。のちに妻が弟の舜広、元広（季広の長男、次男）を毒殺した罪に連座して自害。「逆さ水松」の伝説を残した。,0,0,0
6,南部,晴政,85,79,49,43,42,164,85,298,南部安信,なんぶ,はるまさ,1517年,1532年,1582年,66,-,満ちゆく月,奮闘,疾走激励,神出鬼没,実利,12,-,南部晴政,南部家２４代当主。安信の子。将軍・足利義晴の偏諱を賜り、晴政と名乗る。三戸城を本拠に「三日月の丸くなるまで南部領」といわれる広大な版図を築いた。,1,0,1
7,石川,高信,79,63,59,54,56,142,110,311,南部政康,いしかわ,たかのぶ,1496年,1511年,1571年,76,-,所領拡大,用心,斥候離間,神出鬼没,実利,7,-,石川高信,南部家臣。南部政康の次男。津軽郡代として甥・晴政を補佐し、南部家の勢力拡大に大きく貢献した。のちに家臣・大浦（津軽）為信の謀叛により、自害した。,1,0,0
8,石川,信直,64,51,76,75,77,115,152,343,石川高信,いしかわ,のぶなお,1546年,1561年,1599年,54,-,所領拡大,逆撫で,地利奮闘,囮挑発,勲功,7,-,石川信直,南部家２６代当主。石川高信の子。晴継（晴政の子）死後の御家騒動に勝ち、家督を継ぐ。九戸政実の乱などに苦しむが豊臣秀吉に接近して領内を統一した。,1,0,0
9,石川,利直,66,57,73,73,77,123,150,346,石川信直,いしかわ,としなお,1576年,1591年,1632年,57,-,家名存続,叱咤,伏兵,神出鬼没,家名,10,-,石川利直,南部家２７代当主。信直の子。父の死後に家督を継ぐ。関ヶ原合戦では東軍に属し、最上家を救援した。領内の一揆を平定するなど、南部藩の基礎を築いた。,1,0,0
10,泉山,古康,42,42,52,68,61,84,129,265,-,いずみやま,ふるやす,1536年,1551年,1590年,55,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,7,-,泉山古康,南部家臣。政昭（石亀信房の子）の子。叔父・泉山康朝の養子として三戸郷泉山村を領し、泉山姓を名乗る。娘・慈照院はのちに主君・信直の後室となった。,0,0,0
11,泉山,政義,37,37,52,63,58,74,121,247,泉山古康,いずみやま,まさよし,1560年,1575年,1629年,70,-,家名存続,気勢崩し,堅固,囮挑発,実利,6,-,泉山政義,南部家臣。古康の嫡男。姉は主君・信直の後室・慈照院。のちに石亀家が絶えたため、石亀姓を名乗った。信直の義弟として南部藩重臣２０名のうちに列した。,1,0,0
12,北,信愛,76,57,67,81,74,133,155,355,北致愛,きた,のぶちか,1523年,1538年,1613年,91,-,領地保全,太鼓持ち,万全,囮挑発,家名,6,-,北信愛,南部家臣。剣吉城主。晴政死後の御家騒動では信直を支持、信直の筆頭家老として活躍した。合戦に臨む際は、必ず小さな観音像を髻の中に収めていたという。,1,0,0
13,八戸,政栄,72,50,62,71,68,122,139,323,-,はちのへ,まさよし,1544年,1559年,1610年,67,-,家名存続,用心,斥候,神出鬼没,家名,5,-,八戸政栄,南部家臣。八戸根城主。北信愛とともに主家を支えた重臣。信直が豊臣秀吉の小田原征伐に参陣した際には、留守居役を務めている。眼疾で盲目だったという。,0,0,0
14,九戸,信仲,56,56,65,47,56,112,103,280,-,くのへ,のぶなか,1514年,1529年,1568年,55,-,所領拡大,足止め,回避,神出鬼没,才覚,11,-,九戸信仲,南部家臣。信実の長男。九戸城主。右京と称す。九戸家は南部家の庶流で、南部行連（南部家の始祖・光行の六男）を祖とするという。八戸信長の娘を娶った。,0,0,0
15,九戸,政実,74,82,65,42,42,156,84,305,九戸信仲,くのへ,まさざね,1536年,1551年,1591年,56,-,天下統一,早駆け,猛攻,本陣斬込,勲功,14,-,九戸政実,南部家臣。信仲の子。南部晴政の死後、弟・実親を後継者に推すが敗れ、叛乱を起こす。南部信直の要請で出陣した豊臣軍相手に善戦するが敗れ、斬首された。,1,0,0
16,九戸,実親,72,68,41,41,38,140,79,260,九戸信仲,くのへ,さねちか,1542年,1557年,1591年,50,-,領地保全,用心,斥候,神出鬼没,勲功,12,-,九戸実親,南部家臣。信仲の子。南部晴政の次女と結婚し、後継者候補となる。主家に叛旗を翻した兄・政実とともに九戸城に籠城し、豊臣軍と戦うが敗れ、斬首された。,1,0,0
17,九戸,康真,51,49,68,43,54,100,97,265,九戸信仲,くのへ,やすざね,1553年,1568年,1594年,42,-,家名存続,足止め,回避,神出鬼没,家名,11,-,九戸康真,南部家臣。九戸信仲の子。はじめ高水寺城主・斯波詮真の娘婿となるが、のちに斯波家を出奔、斯波家討伐軍の先鋒を務めた。従兄弟・連尹に斬られ死去した。,1,0,0
18,大浦,為則,40,41,59,65,63,81,128,268,大浦政信,おおうら,ためのり,1520年,1535年,1567年,48,-,所領拡大,臨戦,万全,囮挑発,才覚,4,-,大浦為則,南部家臣。政信の嫡男。大浦城主。父の死後、家督を継ぐ。生来病弱であったという。のちに娘・戌の婿に大浦（津軽）為信を迎えて後継者とした。,1,0,0
19,大浦,為信,88,77,92,80,86,165,166,423,大浦守信,おおうら,ためのぶ,1550年,1565年,1607年,58,大浦為則,不制于天地人,策士,奪力,神出鬼没,実利,15,-,大浦為信,弘前藩初代藩主。大浦為則の娘を娶る。主家・南部家から独立し、１７年かけて津軽を統一した。豊臣秀吉の小田原征伐に参陣し、正式に津軽の領主となった。,1,0,1
20,大浦,信枚,65,60,72,77,76,125,153,350,大浦為信,おおうら,のぶひら,1586年,1601年,1631年,46,-,領地保全,急襲,復帰,囮挑発,家名,8,-,大浦信枚,弘前藩２代藩主。為信の三男。幼い頃に父の勧めで受洗した。２人の兄が幼くして世を去ったため父の死後家督を継ぐ。弘前城を築くなど、藩の基礎を固めた。,1,0,0
21,沼田,祐光,66,53,82,80,81,119,161,362,-,ぬまた,すけみつ,1539年,1554年,1612年,74,-,家名存続,叱咤,参謀,神出鬼没,実利,7,-,沼田祐光,津軽家臣。上野国沼田の出身。武者修業のため全国を行脚していた際に、為信の器量を見込んで仕官、その軍師となる。為信の津軽統一に多大な功績を残した。,0,0,0
22,小笠原,信浄,52,58,64,46,53,110,99,273,-,おがさわら,のぶきよ,1532年,1547年,1597年,66,-,所領拡大,臨戦,万全,囮挑発,才覚,4,-,小笠原信浄,津軽家臣。主君・為信の創業期を支えた大浦三老の１人。信濃国の出身で津軽に移住し、大浦家に仕える。大光寺城、石川城攻めに従軍するなど、活躍した。,0,0,0
