俳名,出身地,現住所,本名/別名,職業,職業_詳細,門下/派閥,没年(年齢),備考,雑誌登場回数,ちとりつか_寛政2年(1790),松のしるし_寛政4年(1792),冬のひかり_寛政5年(1793),笠塚百回忌_寛政5年(1793),鷹の石ふみ_寛政5年(1793),旅の日数_寛政5年(1793),麻刈集_寛政5年(1793),落梅花_寛政5年(1793),みちのかけ_寛政5年(1793),花つか集_寛政5年(1793),この供養_寛政5年(1793),松葉塚_寛政5年(1793),五東斎木朶_寛政6年(1794),たまかつら_寛政7年(1795),昔合集_寛政8年(1796),勧進帖_寛政8年(1796),橋日記_寛政10年(1798),志ら梅_寛政10年(1798),寛政守武祠句集_寛政11年(1799),東境連句会_寛政11年(1799),花鳥楽事_寛政11年(1799),あがたの三月よつき_寛政12年(1800),萩の露_寛政12年(1800),歳旦_寛政12年(1800)？,春興_寛政12年(1800),木朶交友録_寛政頃？,馬江連春興_享和2年(1801),元除春遊_享和2年(1802),時雨会_享和3年(1803),青むしろ_文化元年(1804),秋風紀行_文化元年(1804),雪月文事_文化元年(1804),東境連句会_文化元年(1804),東境連句会_文化2年(1805),雛さうし_文化3年(1806),無量佛_文化4年(1807),東境連句会_文化4年(1807),はつそら_文化4年(1807),梅花帖_文化5年(1808),霜のかね_文化5年(1808),蘿蔓集_文化5年(1808),蓑虫集_文化5年(1808),楫枕_文化6年(1809),あさひらき_文化6年(1809),趙鳧龍城下歳旦_文化7年(1810),白蓮華_文化7年(1810),蓼廻穂_文化7年(1810),小菊原_文化7年(1810),藁つと_文化7年(1810),歳晩集_文化8年(1811),きねうた_文化8年(1811),侘草紙_文化9年(1812),としのやと_文化9年(1812),煎豆集_文化9年(1812),ひしのはな_文化9年(1812),鶯囀梅_文化10年(1813),桃桜_文化10年(1813),しまめぐり_文化10年(1813),花おし_文化10年(1813),酔月集_文化10年(1813),文音録_文化11年(1814),秋の調_文化11年(1814),すしかひ_文化11年(1814),いたびさし_文化11年(1814),銀河_文化11年(1814),むしの声_文化11年(1814),花御師_文化12年(1815),竜の登_文化13年(1816),俳諧西歌仙_文化13年(1816),はいかい壱軸_文化13年(1816),奉納八橋山俳諧一軸_文化13年(1816),四海句双紙_文化14年(1817),諸国人名録(B)_文政初期,たかむしろ_文政元年(1818),あとのともし_文政元年(1818),雁の空_文政元年(1818),むかしいま_文政2年(1819),はつね集_文政2年(1819),月次五題_文政4年(1821),伊農太傳_文政4年(1821),見なれし_文政4年(1821),草の名集_文政5年(1822),枇杷の実_文政7年(1824),安居鐘_文政7年(1824),五百機集_文政8年(1825),蘆の一もと_文政10年(1827),十かへり_文政10年(1827),その葉さへ_文政10年(1827),花済集_文政10年(1827),燕岡集_文政10年(1827),楽しみ草_文政12年(1829),蝉茸集_文政12年(1829),狂俳冠句壱編_文政12年(1829),湯のかたみ_文政13年(1830),和漢俳諧集_文政13年(1830),ことはくつ_文化文政年間,はつ夢_文化文政年間,鶴のかしら_文政年間,諸国人名録(A)_天保年間,ひとつ鷺_天保9年(1838),蓬宇人名録_天保10年(1839),大鶴庵卯選集_年代不明,唯うつむいて_年代不明,椎芝集_年代不明
卓池,菅生,岡崎市菅生町,"鶴田氏,青々処",紺屋,俳人,卓池,弘化3年(76歳),暁台、士郎に師事、三河俳諧の中心人物、満性寺(岡崎市)や無量壽寺(知立市)に句碑あり,51,,,〇,,,〇,〇,〇,,,,,,〇,,〇,〇,,,,,〇,,,,,,,,〇,〇,〇,,,,,,〇,〇,,,〇,,〇,,,,〇,,〇,〇,〇,〇,,〇,〇,〇,〇,〇,,,〇,〇,〇,,〇,,,〇,〇,,,,〇,,〇,,〇,,〇,〇,,〇,〇,〇,,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,〇,〇,,〇,〇
秋挙,小垣江,刈谷市小垣江町,"中島惟一,曙庵",藩士,俳人,秋挙,文政9年(54歳),30歳で隠居、士郎に師事、墓所は十念寺(刈谷市),32,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,〇,,,〇,,,〇,,,,〇,,〇,,,,〇,〇,,,〇,,,,〇,〇,〇,,,,,〇,,,〇,,〇,〇,〇,,〇,,〇,,,,〇,,〇,〇,〇,〇,〇,〇,,〇,〇,〇,,,,,,,〇,〇,,,,,,,
桃生,岡崎,岡崎市康生町,鶴田氏,,,暁台,寛政8年,一族の卓池を暁台に紹介(日本古典作者辞典),6,,,,,,〇,〇,〇,,,,,,〇,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圃来,岡崎,岡崎市康生町,,,,暁台,,,6,,,,,,〇,〇,〇,,,,,,〇,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入素,岡崎,岡崎市康生町,桑谷山人,,,暁台,享和元年,,8,,,,,,〇,〇,〇,,,,,,〇,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚日,岡崎,岡崎市康生町,,,,暁台,,,3,,,,,,〇,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几鴎,岡崎,岡崎市康生町,,,,暁台,,,3,,,,,,〇,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翅白(女),岡崎,岡崎市康生町,,,,暁台,,,1,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弁古,岡崎,岡崎市康生町,,,,暁台,,,1,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歌風(女),岡崎,岡崎市康生町,,,,暁台,,,1,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
