現チーム,選手名,年俸,SS,守備,数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国人,地域,2020年打席あり,2019年打席あり,2018年打席あり,2020打率,2020試合,2020打席数,2020打数,2020得点,2020安打,2020二塁打,2020三塁打,2020本塁打,2020塁打,2020打点,2020盗塁,2020盗塁刺,2020犠打,2020犠飛,2020四球,2020敬遠,2020死球,2020三振,2020併殺打,2020出塁率,2020長打率,2019打率,2019試合,2019打席数,2019打数,2019得点,2019安打,2019二塁打,2019三塁打,2019本塁打,2019塁打,2019打点,2019盗塁,2019盗塁刺,2019犠打,2019犠飛,2019四球,2019敬遠,2019死球,2019三振,2019併殺打,2019出塁率,2019長打率,2018打率,2018試合,2018打席数,2018打数,2018得点,2018安打,2018二塁打,2018三塁打,2018本塁打,2018塁打,2018打点,2018盗塁,2018盗塁刺,2018犠打,2018犠飛,2018四球,2018敬遠,2018死球,2018三振,2018併殺打,2018出塁率,2018長打率
横浜,山﨑　康晃,"280,000,000",1,投手,7,28,1992/10/2,179,88,O,右右,東京,0,関東,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,ソト,"250,000,000",1,内野手,4,32,1989/2/28,185,97,,右右,プエルトリコ,1,海外,1,1,1,0.252,114,480,428,59,108,18,0,25,201,78,0,0,0,5,44,0,3,103,12,0.323,0.47,0.269,141,584,516,82,139,18,0,43,286,108,0,0,0,4,59,4,5,98,14,0.348,0.554,0.31,107,459,416,74,129,16,0,41,268,95,0,1,0,5,29,2,9,100,5,0.364,0.644
横浜,宮﨑　敏郎,"170,000,000",1,内野手,9,32,1988/12/12,172,85,B,右右,佐賀,0,九州・沖縄,1,1,1,0.301,113,460,429,47,129,26,1,14,199,53,0,0,0,3,24,2,4,29,15,0.341,0.464,0.284,114,473,433,54,123,22,1,15,192,49,0,0,0,5,32,2,3,35,13,0.334,0.443,0.318,142,590,551,71,175,34,0,28,293,71,0,0,0,0,38,3,1,45,16,0.363,0.532
横浜,エスコバー,"160,000,000",1,投手,5,28,1992/4/22,188,102,,左左,ベネズエラ,1,海外,1,0,0,0.273,104,402,377,27,103,14,2,1,124,30,6,7,1,2,13,6,9,52,9,0.312,0.329,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,伊藤　光,"112,500,000",1,捕手,14,31,1989/4/23,180,83,B,右右,愛知,0,中部,1,1,1,0.216,30,63,51,5,11,3,1,0,16,6,0,0,1,0,10,1,1,15,2,0.355,0.314,0.254,84,301,256,30,65,8,0,8,97,27,5,5,3,2,37,6,3,45,4,0.352,0.379,0.195,47,151,128,12,25,5,0,1,33,11,1,1,0,2,18,0,3,29,5,0.305,0.258
横浜,三嶋　一輝,"110,000,000",1,投手,9,30,1990/5/7,176,80,A,右両,福岡,0,九州・沖縄,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,オースティン,"110,000,000",1,外野手,2,29,1991/9/6,188,100,,右右,アメリカ,1,海外,1,0,0,0.286,65,269,238,36,68,14,1,20,144,56,0,0,0,1,29,1,1,69,4,0.364,0.605,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,今永　昇太,"100,000,000",1,投手,6,27,1993/9/1,178,83,A,左左,福岡,0,九州・沖縄,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,大和,"100,000,000",1,内野手,16,33,1987/11/5,177,77,A,右右,鹿児島,0,九州・沖縄,1,1,1,0.281,85,225,199,23,56,7,1,4,77,23,3,3,3,3,20,0,0,28,8,0.342,0.387,0.237,137,490,438,42,104,17,2,0,125,37,3,1,10,2,34,1,6,75,7,0.3,0.285,0.244,113,435,394,54,96,24,3,2,132,27,10,6,9,3,24,1,5,73,0,0.293,0.335
横浜,石田　健大,"84,500,000",1,投手,7,28,1993/3/1,180,85,O,左左,広島,0,中国,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
